date,from.code,from.city,to.code,to.city,price.czk
2022-07-01,AMS,Amsterdam,ARN,Stockholm,2447
2022-07-01,AMS,Amsterdam,ATH,Athens,4520
2022-07-01,AMS,Amsterdam,BEG,Belgrade,3040
2022-07-01,AMS,Amsterdam,BRN,Bern,1380
2022-07-01,AMS,Amsterdam,BTS,Bratislava,2208
2022-07-01,AMS,Amsterdam,BUD,Budapest,2557
2022-07-01,AMS,Amsterdam,CDG,Paris,1076
2022-07-01,AMS,Amsterdam,CPH,Copenhagen,1439
2022-07-01,AMS,Amsterdam,DUB,Dublin,1649
2022-07-01,AMS,Amsterdam,ESB,Ankara,5218
2022-07-01,AMS,Amsterdam,FCO,Rome,2818
2022-07-01,AMS,Amsterdam,GYD,Baku,7504
2022-07-01,AMS,Amsterdam,HEL,Helsinki,3128
2022-07-01,AMS,Amsterdam,IEV,Kyiv,3710
2022-07-01,AMS,Amsterdam,KIV,Chisinau,3923
2022-07-01,AMS,Amsterdam,LHR,London,917
2022-07-01,AMS,Amsterdam,LIS,Lisbon,3800
2022-07-01,AMS,Amsterdam,LJU,Ljubljana,2221
2022-07-01,AMS,Amsterdam,LUX,Luxembourg,615
2022-07-01,AMS,Amsterdam,MAD,Madrid,3302
2022-07-01,AMS,Amsterdam,MLA,Valletta,4180
2022-07-01,AMS,Amsterdam,MSQ,Minsk,3298
2022-07-01,AMS,Amsterdam,NIC,Nicosia,6168
2022-07-01,AMS,Amsterdam,OTP,Bucharest,3736
2022-07-01,AMS,Amsterdam,PRN,Pristina,3437
2022-07-01,AMS,Amsterdam,RIX,Riga,2817
2022-07-01,AMS,Amsterdam,RKV,Reykjavik,4147
2022-07-01,AMS,Amsterdam,SJJ,Sarajevo,2947
2022-07-01,AMS,Amsterdam,SKP,Skopje,3528
2022-07-01,AMS,Amsterdam,SOF,Sofia,3737
2022-07-01,AMS,Amsterdam,TBS,Tbilisi,6519
2022-07-01,AMS,Amsterdam,TGD,Podgorica,3196
2022-07-01,AMS,Amsterdam,TIA,Tirana,2590
2022-07-01,AMS,Amsterdam,TLL,Tallinn,3189
2022-07-01,AMS,Amsterdam,TXL,Berlin,1348
2022-07-01,AMS,Amsterdam,VIE,Vienna,2103
2022-07-01,AMS,Amsterdam,VNO,Vilnius,2918
2022-07-01,AMS,Amsterdam,ZAG,Zagreb,2403
2022-07-01,ARN,Stockholm,AMS,Amsterdam,2504
2022-07-01,ARN,Stockholm,ATH,Athens,5025
2022-07-01,ARN,Stockholm,BEG,Belgrade,3392
2022-07-01,ARN,Stockholm,BRN,Bern,3388
2022-07-01,ARN,Stockholm,BRU,Brussels,2846
2022-07-01,ARN,Stockholm,BTS,Bratislava,2735
2022-07-01,ARN,Stockholm,BUD,Budapest,2812
2022-07-01,ARN,Stockholm,CDG,Paris,3289
2022-07-01,ARN,Stockholm,CPH,Copenhagen,1200
2022-07-01,ARN,Stockholm,DME,Moscow,2601
2022-07-01,ARN,Stockholm,DUB,Dublin,3455
2022-07-01,ARN,Stockholm,ESB,Ankara,5008
2022-07-01,ARN,Stockholm,EVN,Yerevan,5815
2022-07-01,ARN,Stockholm,FCO,Rome,4171
2022-07-01,ARN,Stockholm,GYD,Baku,6300
2022-07-01,ARN,Stockholm,HEL,Helsinki,926
2022-07-01,ARN,Stockholm,IEV,Kyiv,2784
2022-07-01,ARN,Stockholm,KIV,Chisinau,3310
2022-07-01,ARN,Stockholm,LHR,London,3009
2022-07-01,ARN,Stockholm,LIS,Lisbon,6157
2022-07-01,ARN,Stockholm,LJU,Ljubljana,3263
2022-07-01,ARN,Stockholm,LUX,Luxembourg,2873
2022-07-01,ARN,Stockholm,MAD,Madrid,5377
2022-07-01,ARN,Stockholm,MLA,Valletta,5468
2022-07-01,ARN,Stockholm,MSQ,Minsk,1840
2022-07-01,ARN,Stockholm,OSL,Oslo,1013
2022-07-01,ARN,Stockholm,PRG,Prague,2281
2022-07-01,ARN,Stockholm,PRN,Pristina,3956
2022-07-01,ARN,Stockholm,RIX,Riga,1079
2022-07-01,ARN,Stockholm,RKV,Reykjavik,4528
2022-07-01,ARN,Stockholm,SJJ,Sarajevo,3600
2022-07-01,ARN,Stockholm,SKP,Skopje,4066
2022-07-01,ARN,Stockholm,SOF,Sofia,3935
2022-07-01,ARN,Stockholm,TBS,Tbilisi,5612
2022-07-01,ARN,Stockholm,TGD,Podgorica,2935
2022-07-01,ARN,Stockholm,TIA,Tirana,4254
2022-07-01,ARN,Stockholm,TLL,Tallinn,905
2022-07-01,ARN,Stockholm,VIE,Vienna,2778
2022-07-01,ARN,Stockholm,VNO,Vilnius,1171
2022-07-01,ARN,Stockholm,WAW,Warsaw,1853
2022-07-01,ARN,Stockholm,ZAG,Zagreb,3276
2022-07-01,ATH,Athens,AMS,Amsterdam,3463
2022-07-01,ATH,Athens,ARN,Stockholm,5023
2022-07-01,ATH,Athens,BEG,Belgrade,1796
2022-07-01,ATH,Athens,BRN,Bern,3669
2022-07-01,ATH,Athens,BRU,Brussels,4501
2022-07-01,ATH,Athens,BTS,Bratislava,2728
2022-07-01,ATH,Athens,BUD,Budapest,2483
2022-07-01,ATH,Athens,CDG,Paris,4313
2022-07-01,ATH,Athens,CPH,Copenhagen,3357
2022-07-01,ATH,Athens,DME,Moscow,4567
2022-07-01,ATH,Athens,DUB,Dublin,5883
2022-07-01,ATH,Athens,ESB,Ankara,1851
2022-07-01,ATH,Athens,EVN,Yerevan,3836
2022-07-01,ATH,Athens,FCO,Rome,2320
2022-07-01,ATH,Athens,GYD,Baku,3502
2022-07-01,ATH,Athens,IEV,Kyiv,3124
2022-07-01,ATH,Athens,KIV,Chisinau,2351
2022-07-01,ATH,Athens,LIS,Lisbon,5968
2022-07-01,ATH,Athens,LJU,Ljubljana,2571
2022-07-01,ATH,Athens,LUX,Luxembourg,3982
2022-07-01,ATH,Athens,MLA,Valletta,1470
2022-07-01,ATH,Athens,MSQ,Minsk,3778
2022-07-01,ATH,Athens,NIC,Nicosia,2057
2022-07-01,ATH,Athens,OSL,Oslo,5348
2022-07-01,ATH,Athens,OTP,Bucharest,1677
2022-07-01,ATH,Athens,PRG,Prague,3291
2022-07-01,ATH,Athens,PRN,Pristina,1362
2022-07-01,ATH,Athens,RIX,Riga,4307
2022-07-01,ATH,Athens,RKV,Reykjavik,8628
2022-07-01,ATH,Athens,SJJ,Sarajevo,1749
2022-07-01,ATH,Athens,SKP,Skopje,1192
2022-07-01,ATH,Athens,SOF,Sofia,1280
2022-07-01,ATH,Athens,TBS,Tbilisi,3875
2022-07-01,ATH,Athens,TGD,Podgorica,1451
2022-07-01,ATH,Athens,TIA,Tirana,1113
2022-07-01,ATH,Athens,TLL,Tallinn,4945
2022-07-01,ATH,Athens,VIE,Vienna,2763
2022-07-01,ATH,Athens,VNO,Vilnius,3001
